symbol,desc,dt,attchmntFile,sm_name,sm_isin,an_dt,sort_date,seq_id,smIndustry,orgid,attchmntText,bflag,old_new,csvName,exchdisstime,difference
ASLIND,"Certificate under SEBI (Depositories and Participants) Regulations, 2018",09-Apr-2025 15:06:34,https://nsearchives.nseindia.com/corporate/ASLIND_09042025150603_CoveringLetter74_5_uploaded.pdf,ASL Industries Limited,nan,09-Apr-2025 15:06:34,2025-04-09 15:06:34,nan,nan,nan,"ASL Industries Limited has informed the Exchange about Certificate under SEBI (Depositories and Participants) Regulations, 2018",nan,nan,nan,09-Apr-2025 15:06:34,00:00:00
MINDPOOL,"Certificate under SEBI (Depositories and Participants) Regulations, 2018",09-Apr-2025 14:58:22,https://nsearchives.nseindia.com/corporate/MINDPOOL_09042025145804_NSE_Certificate_under_Reg74_5_.pdf,Mindpool Technologies Limited,nan,09-Apr-2025 14:58:22,2025-04-09 14:58:22,nan,nan,nan,"Mindpool Technologies Limited has informed the Exchange about Certificate under SEBI (Depositories and Participants) Regulations, 2018",nan,nan,nan,09-Apr-2025 14:58:23,00:00:01
MEGAFLEX,"Certificate under SEBI (Depositories and Participants) Regulations, 2018",09-Apr-2025 14:57:40,https://nsearchives.nseindia.com/corporate/MEGAFLEX_09042025145603_Reg_74_5_.pdf,Mega Flex Plastics Limited,nan,09-Apr-2025 14:57:40,2025-04-09 14:57:40,nan,nan,nan,"Mega Flex Plastics Limited has informed the Exchange about Certificate under SEBI (Depositories and Participants) Regulations, 2018",nan,nan,nan,09-Apr-2025 14:57:41,00:00:01
ARABIAN,Quarterly Compliance Report on Corporate governance - within 21 days from the end of the quarter,09-Apr-2025 14:53:49,https://nsearchives.nseindia.com/corporate/ARABIAN_09042025145329_Non_applicability_of_CGR.pdf,Arabian Petroleum Limited,nan,09-Apr-2025 14:53:49,2025-04-09 14:53:49,nan,nan,nan,"Arabian Petroleum Limited has informed regarding Submission of the Non-applicability of Compliance Report on Corporate Governance for the Quarter ended March 31,  2025.",nan,nan,nan,09-Apr-2025 14:53:49,00:00:00
AHIMSA,"Certificate under SEBI (Depositories and Participants) Regulations, 2018",09-Apr-2025 14:52:16,https://nsearchives.nseindia.com/corporate/AHIMSA_09042025145201_SE_74-5_LETTER.pdf,Ahimsa Industries Limited,nan,09-Apr-2025 14:52:16,2025-04-09 14:52:16,nan,nan,nan,"Ahimsa Industries Limited has informed the Exchange about Certificate under SEBI (Depositories and Participants) Regulations, 2018",nan,nan,nan,09-Apr-2025 14:52:17,00:00:01
CHAVDA,General Updates,09-Apr-2025 14:51:55,https://nsearchives.nseindia.com/corporate/CHAVDA_09042025145049_NSEAnnouncement090425Nirma.pdf,Chavda Infra Limited,nan,09-Apr-2025 14:51:55,2025-04-09 14:51:55,nan,nan,nan,Chavda Infra Limited has informed the Exchange about General Updates,nan,nan,nan,09-Apr-2025 14:51:55,00:00:00
ACCENTMIC,Updates,09-Apr-2025 14:50:29,https://nsearchives.nseindia.com/corporate/ACCENT_09042025144947_24Ana__1_.pdf,Accent Microcell Limited,nan,09-Apr-2025 14:50:29,2025-04-09 14:50:29,nan,nan,nan,"Accent Microcell Limited has informed the Exchange regarding 'Non-applicability of Annual Secretarial Compliance Report under Regulation 24A of the SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015 for the financial year ended on March 31, 2025'.",nan,nan,nan,09-Apr-2025 14:50:29,00:00:00
JIWANRAM,Structural Digital Database,09-Apr-2025 14:45:11,https://nsearchives.nseindia.com/corporate/JIWANRAM_09042025144500_Jiwanram_SDD_Compliance_Certificate_March_2025.pdf,Jiwanram Sheoduttrai Industries Limited,nan,09-Apr-2025 14:45:11,2025-04-09 14:45:11,nan,nan,nan,"PCS Compliance Certificate with respect to Structured Digital Database for financial year ended March 31, 2025.",nan,nan,nan,09-Apr-2025 14:45:12,00:00:01
symbol,desc,dt,attchmntFile,sm_name,sm_isin,an_dt,sort_date,seq_id,smIndustry,orgid,attchmntText,bflag,old_new,csvName,exchdisstime,difference
ASLIND,"Certificate under SEBI (Depositories and Participants) Regulations, 2018",09-Apr-2025 15:06:34,https://nsearchives.nseindia.com/corporate/ASLIND_09042025150603_CoveringLetter74_5_uploaded.pdf,ASL Industries Limited,nan,09-Apr-2025 15:06:34,2025-04-09 15:06:34,nan,nan,nan,"ASL Industries Limited has informed the Exchange about Certificate under SEBI (Depositories and Participants) Regulations, 2018",nan,nan,nan,09-Apr-2025 15:06:34,00:00:00
